SINGLE_CHOICE_COUNT:10,MULTIPLE_CHOICE_COUNT:0,TRUE_FALSE_COUNT:10,INORDER:0,CHOICE_IN_ORDER:0
客户开仓数量不得超过交易所规定的交易限额.对超过交易限额的客户.交易所可以采取的措施不包括(),single_choice,要求报告情况,电话提示,强行平仓,__ANSWERS__,强行平仓,__SCORE__,5
交易所在()中规定参与特定品种期货交易的客户应该符合的标准,single_choice,交易细则,期货交易适当性管理办法,结算细则,__ANSWERS__,期货交易适当性管理办法,__SCORE__,5
看涨期权的买方要想通过对冲平仓了结在手的合约需要(),single_choice,卖出看跌期权,买入看跌期权,卖出看涨期权,__ANSWERS__,卖出看涨期权,__SCORE__,5
期货合约的标准化是指除()以外的所有要素都是统一规定的,single_choice,合约有效期,报价单位,价格,__ANSWERS__,价格,__SCORE__,5
客户具有累计不少于10个交易日()笔以上的境内交易场所的期货合约或者期权合约仿真交易成交记录.可以申请实行适当性制度的上市品种交易编码的开立或者交易权限的开通,single_choice,10,30,20,__ANSWERS__,20,__SCORE__,5
期货交易报价时.超过期货交易所规定的涨跌幅度的报价(),single_choice,无效.但可申请转移至下一个交易日,无效.不能成交,有效.可自动转移至下一个交易日,__ANSWERS__,无效.不能成交,__SCORE__,5
以下不属于中国期货市场监控中心职责的是(),single_choice,期货保证金安全监控,为期货投资者提供交易结算信息查询,组织期货交易,__ANSWERS__,组织期货交易,__SCORE__,5
连续交易阶段.期货合约成交是以()为原则,single_choice,价格优先.数量优先,数量优先.时间优先,价格优先.时间优先,__ANSWERS__,价格优先.时间优先,__SCORE__,5
经营机构应告知投资者.应综合考虑自身风险承受能力与经营机构的适当性匹配意见.独立做出投资决策并承担投资风险;经营机构提出的适当性匹配意见().其履行投资者适当性职责不能取代投资者的投资判断.不会降低产品或服务的固有风险.也不会影响其依法应当承担的投资风险､履约责任以及费用,single_choice,代表其对产品或服务的风险和收益作出实质性判断或保证,是投资者决策的唯一标准,不表明其对产品或服务的风险和收益作出实质性判断或保证,__ANSWERS__,不表明其对产品或服务的风险和收益作出实质性判断或保证,__SCORE__,5
按照《证券期货投资者适当性管理办法》要求.将投资者分为().并实施差异化适当性管理,single_choice,一般投资者和特殊投资者,投机者和套利者,普通投资者和专业投资者,__ANSWERS__,普通投资者和专业投资者,__SCORE__,5
客户具有累计不少于()个交易日20笔以上的境内交易场所的期货合约或者期权合约仿真交易成交记录.可以申请实行适当性制度的上市品种交易编码的开立或者交易权限的开通,single_choice,10,30,20,__ANSWERS__,10,__SCORE__,5
境外客户可以参与中国期货市场哪些期货品种交易?(),single_choice,所有商品期货品种,所有品种,境内特定品种期货,__ANSWERS__,境内特定品种期货,__SCORE__,5
客户进行期权交易.应该使用与期货交易()的交易编码和()的账户,single_choice,相同､相同,相同､不同,不同､不同,__ANSWERS__,相同､相同,__SCORE__,5
客户的持仓数量不得超过交易所规定的持仓限额.超过持仓限额的.(),single_choice,取消交易资格,仍可同方向开仓交易,不得同方向开仓交易,__ANSWERS__,不得同方向开仓交易,__SCORE__,5
经营机构向普通投资者销售或提供高风险等级的产品或服务时.应给与投资者至少()小时的冷静期或至少增加一次回访告知特别风险,single_choice,12,8,24,__ANSWERS__,24,__SCORE__,5
"在期货行情中.""涨跌""是指某一期货合约在当日交易期间的最新价与()之差",single_choice,开盘价,上一交易日收盘价,上一交易日结算价,__ANSWERS__,上一交易日结算价,__SCORE__,5
在期货交易中.每次报价必须是期货合约()的整数倍,single_choice,每日价格最大波动限制,期货价格,最小变动价位,__ANSWERS__,最小变动价位,__SCORE__,5
期货交易采用的结算方式是(),single_choice,分期付款,一次性结清,当日无负债结算,__ANSWERS__,当日无负债结算,__SCORE__,5
商品的()能放映商品在未来一定时期的价格变化趋势.包含了市场的预期,single_choice,期货价格,批发价格,现货价格,__ANSWERS__,期货价格,__SCORE__,5
期货投资者不得采用()下达交易指令,single_choice,电话委托,全权委托期货公司,书面委托,__ANSWERS__,全权委托期货公司,__SCORE__,5
买方只能在期权到期日才能行权的期权叫做(),single_choice,欧式期权,美式期权,看涨期权,__ANSWERS__,欧式期权,__SCORE__,5
期货交易者在买卖期货合约时交纳的保证金比例一般为合约价值的(),single_choice,50%-80%,100.0%,5%-20%,__ANSWERS__,5%-20%,__SCORE__,5
